,Measurement,Year,Country,Proportion,fCountry
230,Fat,1969,Algeria,0.359649123,Algeria
231,Protein,1969,Algeria,0.744791667,Algeria
232,Weight,1969,Algeria,0.461567304,Algeria
233,Calories,1970,Algeria,0.569392813,Algeria
234,Fat,1970,Algeria,0.284552846,Algeria
235,Protein,1970,Algeria,0.733509235,Algeria
236,Weight,1970,Algeria,0.438782991,Algeria
237,Calories,1971,Algeria,0.560606061,Algeria
238,Fat,1971,Algeria,0.318181818,Algeria
239,Protein,1971,Algeria,0.738095238,Algeria
240,Weight,1971,Algeria,0.433405328,Algeria
241,Calories,1972,Algeria,0.578442438,Algeria
242,Fat,1972,Algeria,0.247104247,Algeria
243,Protein,1972,Algeria,0.743405276,Algeria
244,Weight,1972,Algeria,0.459078404,Algeria
245,Calories,1973,Algeria,0.604083948,Algeria
246,Fat,1973,Algeria,0.351111111,Algeria
247,Protein,1973,Algeria,0.755868545,Algeria
248,Weight,1973,Algeria,0.468085106,Algeria
249,Calories,1974,Algeria,0.588705381,Algeria
250,Fat,1974,Algeria,0.337704918,Algeria
251,Protein,1974,Algeria,0.759090909,Algeria
252,Weight,1974,Algeria,0.457379135,Algeria
253,Calories,1975,Algeria,0.589386914,Algeria
254,Fat,1975,Algeria,0.374015748,Algeria
255,Protein,1975,Algeria,0.750542299,Algeria
256,Weight,1975,Algeria,0.432385374,Algeria
257,Calories,1976,Algeria,0.598746082,Algeria
258,Fat,1976,Algeria,0.255506608,Algeria
259,Protein,1976,Algeria,0.750542299,Algeria
260,Weight,1976,Algeria,0.457528366,Algeria
261,Calories,1977,Algeria,0.564139942,Algeria
262,Fat,1977,Algeria,0.383753501,Algeria
263,Protein,1977,Algeria,0.751605996,Algeria
264,Weight,1977,Algeria,0.460414129,Algeria
265,Calories,1978,Algeria,0.594878829,Algeria
266,Fat,1978,Algeria,0.361930295,Algeria
267,Protein,1978,Algeria,0.781312127,Algeria
268,Weight,1978,Algeria,0.501627701,Algeria
269,Calories,1979,Algeria,0.579729139,Algeria
270,Fat,1979,Algeria,0.3275,Algeria
271,Protein,1979,Algeria,0.778640777,Algeria
272,Weight,1979,Algeria,0.477756286,Algeria
273,Calories,1980,Algeria,0.586892178,Algeria
274,Fat,1980,Algeria,0.370460048,Algeria
275,Protein,1980,Algeria,0.787992495,Algeria
276,Weight,1980,Algeria,0.480340064,Algeria
277,Calories,1981,Algeria,0.55785473,Algeria
278,Fat,1981,Algeria,0.286,Algeria
279,Protein,1981,Algeria,0.780821918,Algeria
280,Weight,1981,Algeria,0.470861833,Algeria
281,Calories,1982,Algeria,0.567023555,Algeria
282,Fat,1982,Algeria,0.336693548,Algeria
283,Protein,1982,Algeria,0.787401575,Algeria
284,Weight,1982,Algeria,0.484959235,Algeria
285,Calories,1983,Algeria,0.575504829,Algeria
286,Fat,1983,Algeria,0.34939759,Algeria
287,Protein,1983,Algeria,0.774951076,Algeria
288,Weight,1983,Algeria,0.475222717,Algeria
289,Calories,1984,Algeria,0.564679912,Algeria
290,Fat,1984,Algeria,0.315545244,Algeria
291,Protein,1984,Algeria,0.764356436,Algeria
292,Weight,1984,Algeria,0.460580913,Algeria
293,Calories,1985,Algeria,0.560171306,Algeria
294,Fat,1985,Algeria,0.352517986,Algeria
295,Protein,1985,Algeria,0.75095057,Algeria
296,Weight,1985,Algeria,0.42447657,Algeria
297,Calories,1986,Algeria,0.589979123,Algeria
298,Fat,1986,Algeria,0.389830508,Algeria
299,Protein,1986,Algeria,0.765232975,Algeria
300,Weight,1986,Algeria,0.443587271,Algeria
301,Calories,1987,Algeria,0.580738896,Algeria
302,Fat,1987,Algeria,0.522427441,Algeria
303,Protein,1987,Algeria,0.763537906,Algeria
304,Weight,1987,Algeria,0.443605359,Algeria
305,Calories,1988,Algeria,0.587429492,Algeria
306,Fat,1988,Algeria,0.426724138,Algeria
307,Protein,1988,Algeria,0.777385159,Algeria
308,Weight,1988,Algeria,0.463605276,Algeria
309,Calories,1989,Algeria,0.566312475,Algeria
310,Fat,1989,Algeria,0.4048583,Algeria
311,Protein,1989,Algeria,0.756521739,Algeria
312,Weight,1989,Algeria,0.443445338,Algeria
313,Calories,1990,Algeria,0.57790927,Algeria
314,Fat,1990,Algeria,0.473786408,Algeria
315,Protein,1990,Algeria,0.784070796,Algeria
316,Weight,1990,Algeria,0.480846774,Algeria
317,Calories,1991,Algeria,0.562153603,Algeria
318,Fat,1991,Algeria,0.432539683,Algeria
319,Protein,1991,Algeria,0.74738676,Algeria
320,Weight,1991,Algeria,0.435704192,Algeria
321,Calories,1992,Algeria,0.564710309,Algeria
322,Fat,1992,Algeria,0.365248227,Algeria
323,Protein,1992,Algeria,0.757525084,Algeria
324,Weight,1992,Algeria,0.445406884,Algeria
325,Calories,1993,Algeria,0.570668693,Algeria
326,Fat,1993,Algeria,0.331481481,Algeria
327,Protein,1993,Algeria,0.768189509,Algeria
328,Weight,1993,Algeria,0.450149666,Algeria
329,Calories,1994,Algeria,0.577751665,Algeria
330,Fat,1994,Algeria,0.341796875,Algeria
331,Protein,1994,Algeria,0.766323024,Algeria
332,Weight,1994,Algeria,0.466488587,Algeria
333,Calories,1995,Algeria,0.568015414,Algeria
334,Fat,1995,Algeria,0.380333952,Algeria
335,Protein,1995,Algeria,0.759385666,Algeria
336,Weight,1995,Algeria,0.441758748,Algeria
337,Calories,1996,Algeria,0.567186905,Algeria
338,Fat,1996,Algeria,0.527196653,Algeria
339,Protein,1996,Algeria,0.738916256,Algeria
340,Weight,1996,Algeria,0.444979367,Algeria
341,Calories,1997,Algeria,0.553654743,Algeria
342,Fat,1997,Algeria,0.494274809,Algeria
343,Protein,1997,Algeria,0.74010327,Algeria
344,Weight,1997,Algeria,0.441744103,Algeria
345,Calories,1998,Algeria,0.602446483,Algeria
346,Fat,1998,Algeria,0.474103586,Algeria
347,Protein,1998,Algeria,0.757961783,Algeria
348,Weight,1998,Algeria,0.470858192,Algeria
349,Calories,1999,Algeria,0.588014981,Algeria
350,Fat,1999,Algeria,0.538461538,Algeria
351,Protein,1999,Algeria,0.746456693,Algeria
352,Weight,1999,Algeria,0.455233853,Algeria
353,Calories,2000,Algeria,0.54618016,Algeria
354,Fat,2000,Algeria,0.519607843,Algeria
355,Protein,2000,Algeria,0.734348562,Algeria
356,Weight,2000,Algeria,0.427885714,Algeria
357,Calories,2001,Algeria,0.545657016,Algeria
358,Fat,2001,Algeria,0.50990991,Algeria
359,Protein,2001,Algeria,0.736318408,Algeria
360,Weight,2001,Algeria,0.429726089,Algeria
361,Calories,2002,Algeria,0.541176471,Algeria
362,Fat,2002,Algeria,0.258517034,Algeria
363,Protein,2002,Algeria,0.720064725,Algeria
364,Weight,2002,Algeria,0.406230134,Algeria
365,Calories,2003,Algeria,0.556801737,Algeria
366,Fat,2003,Algeria,0.459821429,Algeria
367,Protein,2003,Algeria,0.719814241,Algeria
368,Weight,2003,Algeria,0.395032525,Algeria
369,Calories,2004,Algeria,0.550254916,Algeria
370,Fat,2004,Algeria,0.266375546,Algeria
371,Protein,2004,Algeria,0.718110236,Algeria
372,Weight,2004,Algeria,0.375,Algeria
373,Calories,2005,Algeria,0.555064457,Algeria
374,Fat,2005,Algeria,0.328767123,Algeria
375,Protein,2005,Algeria,0.7109375,Algeria
376,Weight,2005,Algeria,0.368796992,Algeria
377,Calories,2006,Algeria,0.512655971,Algeria
378,Fat,2006,Algeria,0.331313131,Algeria
379,Protein,2006,Algeria,0.677067083,Algeria
380,Weight,2006,Algeria,0.347237671,Algeria
381,Calories,2007,Algeria,0.503389226,Algeria
382,Fat,2007,Algeria,0.491803279,Algeria
383,Protein,2007,Algeria,0.672985782,Algeria
384,Weight,2007,Algeria,0.358229329,Algeria
385,Calories,2008,Algeria,0.529745042,Algeria
386,Fat,2008,Algeria,0.483101392,Algeria
387,Protein,2008,Algeria,0.70846395,Algeria
388,Weight,2008,Algeria,0.367685919,Algeria
389,Calories,2009,Algeria,0.533727399,Algeria
390,Fat,2009,Algeria,0.35745614,Algeria
391,Protein,2009,Algeria,0.697744361,Algeria
392,Weight,2009,Algeria,0.344714606,Algeria
393,Calories,1961,Angola,0.362545018,Angola
394,Fat,1961,Angola,0.433035714,Angola
395,Protein,1961,Angola,0.391752577,Angola
396,Weight,1961,Angola,0.5,Angola
397,Calories,1962,Angola,0.337693222,Angola
398,Fat,1962,Angola,0.373540856,Angola
399,Protein,1962,Angola,0.379661017,Angola
400,Weight,1962,Angola,0.469282013,Angola
401,Calories,1963,Angola,0.358182877,Angola
402,Fat,1963,Angola,0.344978166,Angola
403,Protein,1963,Angola,0.343333333,Angola
404,Weight,1963,Angola,0.492290249,Angola
405,Calories,1964,Angola,0.34032634,Angola
406,Fat,1964,Angola,0.363247863,Angola
407,Protein,1964,Angola,0.350649351,Angola
408,Weight,1964,Angola,0.463216524,Angola
409,Calories,1965,Angola,0.361529548,Angola
410,Fat,1965,Angola,0.343220339,Angola
411,Protein,1965,Angola,0.345762712,Angola
412,Weight,1965,Angola,0.486008507,Angola
413,Calories,1966,Angola,0.374282434,Angola
414,Fat,1966,Angola,0.358333333,Angola
415,Protein,1966,Angola,0.340136054,Angola
416,Weight,1966,Angola,0.499778369,Angola
417,Calories,1967,Angola,0.363893605,Angola
418,Fat,1967,Angola,0.330508475,Angola
419,Protein,1967,Angola,0.333333333,Angola
420,Weight,1967,Angola,0.489564831,Angola
421,Calories,1968,Angola,0.363102233,Angola
422,Fat,1968,Angola,0.30212766,Angola
423,Protein,1968,Angola,0.313380282,Angola
424,Weight,1968,Angola,0.477030162,Angola
425,Calories,1969,Angola,0.370329057,Angola
426,Fat,1969,Angola,0.344827586,Angola
427,Protein,1969,Angola,0.35472973,Angola
428,Weight,1969,Angola,0.493467552,Angola
429,Calories,1970,Angola,0.370431894,Angola
430,Fat,1970,Angola,0.314893617,Angola
431,Protein,1970,Angola,0.306122449,Angola
432,Weight,1970,Angola,0.498734177,Angola
433,Calories,1971,Angola,0.363833243,Angola
434,Fat,1971,Angola,0.326612903,Angola
435,Protein,1971,Angola,0.309446254,Angola
436,Weight,1971,Angola,0.50177268,Angola
437,Calories,1972,Angola,0.366189427,Angola
438,Fat,1972,Angola,0.481481481,Angola
439,Protein,1972,Angola,0.331125828,Angola
440,Weight,1972,Angola,0.515789474,Angola
441,Calories,1973,Angola,0.367289191,Angola
442,Fat,1973,Angola,0.391666667,Angola
443,Protein,1973,Angola,0.313793103,Angola
444,Weight,1973,Angola,0.508628128,Angola
445,Calories,1974,Angola,0.334297282,Angola
446,Fat,1974,Angola,0.331967213,Angola
447,Protein,1974,Angola,0.356666667,Angola
448,Weight,1974,Angola,0.474353155,Angola
449,Calories,1975,Angola,0.307197191,Angola
450,Fat,1975,Angola,0.427350427,Angola
451,Protein,1975,Angola,0.394321767,Angola
452,Weight,1975,Angola,0.464355469,Angola
453,Calories,1976,Angola,0.284477784,Angola
454,Fat,1976,Angola,0.357692308,Angola
455,Protein,1976,Angola,0.38762215,Angola
456,Weight,1976,Angola,0.438113949,Angola
457,Calories,1977,Angola,0.273037543,Angola
458,Fat,1977,Angola,0.306709265,Angola
459,Protein,1977,Angola,0.377419355,Angola
460,Weight,1977,Angola,0.437012824,Angola
461,Calories,1978,Angola,0.260167131,Angola
462,Fat,1978,Angola,0.261363636,Angola
463,Protein,1978,Angola,0.378548896,Angola
464,Weight,1978,Angola,0.425730111,Angola
465,Calories,1979,Angola,0.241671372,Angola
466,Fat,1979,Angola,0.274193548,Angola
467,Protein,1979,Angola,0.329113924,Angola
468,Weight,1979,Angola,0.390889831,Angola
469,Calories,1980,Angola,0.234826999,Angola
470,Fat,1980,Angola,0.306358382,Angola
471,Protein,1980,Angola,0.335403727,Angola
472,Weight,1980,Angola,0.382250735,Angola
473,Calories,1981,Angola,0.249251049,Angola
474,Fat,1981,Angola,0.309090909,Angola
475,Protein,1981,Angola,0.364238411,Angola
476,Weight,1981,Angola,0.383356449,Angola
477,Calories,1982,Angola,0.25504229,Angola
478,Fat,1982,Angola,0.335640138,Angola
479,Protein,1982,Angola,0.375912409,Angola
480,Weight,1982,Angola,0.396287566,Angola
481,Calories,1983,Angola,0.252972259,Angola
482,Fat,1983,Angola,0.334482759,Angola
483,Protein,1983,Angola,0.371747212,Angola
484,Weight,1983,Angola,0.400121249,Angola
485,Calories,1984,Angola,0.27700831,Angola
486,Fat,1984,Angola,0.285185185,Angola
487,Protein,1984,Angola,0.318548387,Angola
488,Weight,1984,Angola,0.421683047,Angola
489,Calories,1985,Angola,0.294241573,Angola
490,Fat,1985,Angola,0.291828794,Angola
491,Protein,1985,Angola,0.331967213,Angola
492,Weight,1985,Angola,0.444306931,Angola
493,Calories,1986,Angola,0.299367533,Angola
494,Fat,1986,Angola,0.285185185,Angola
495,Protein,1986,Angola,0.373390558,Angola
496,Weight,1986,Angola,0.451502944,Angola
497,Calories,1987,Angola,0.307415407,Angola
498,Fat,1987,Angola,0.326612903,Angola
499,Protein,1987,Angola,0.331858407,Angola
500,Weight,1987,Angola,0.456732271,Angola
501,Calories,1988,Angola,0.310495627,Angola
502,Fat,1988,Angola,0.358156028,Angola
503,Protein,1988,Angola,0.309090909,Angola
504,Weight,1988,Angola,0.465451056,Angola
505,Calories,1989,Angola,0.32887899,Angola
506,Fat,1989,Angola,0.406779661,Angola
507,Protein,1989,Angola,0.254901961,Angola
508,Weight,1989,Angola,0.483695652,Angola
509,Calories,1990,Angola,0.302032235,Angola
510,Fat,1990,Angola,0.35347432,Angola
511,Protein,1990,Angola,0.237885463,Angola
512,Weight,1990,Angola,0.466539803,Angola
513,Calories,1991,Angola,0.298746518,Angola
514,Fat,1991,Angola,0.362776025,Angola
515,Protein,1991,Angola,0.310502283,Angola
516,Weight,1991,Angola,0.465456861,Angola
517,Calories,1992,Angola,0.326712329,Angola
518,Fat,1992,Angola,0.357142857,Angola
519,Protein,1992,Angola,0.273127753,Angola
520,Weight,1992,Angola,0.489291101,Angola
521,Calories,1993,Angola,0.325746799,Angola
522,Fat,1993,Angola,0.394160584,Angola
523,Protein,1993,Angola,0.315789474,Angola
524,Weight,1993,Angola,0.493037975,Angola
525,Calories,1994,Angola,0.380347594,Angola
526,Fat,1994,Angola,0.408730159,Angola
527,Protein,1994,Angola,0.263565891,Angola
528,Weight,1994,Angola,0.54442558,Angola
529,Calories,1995,Angola,0.385816526,Angola
530,Fat,1995,Angola,0.391791045,Angola
531,Protein,1995,Angola,0.254826255,Angola
532,Weight,1995,Angola,0.553191489,Angola
533,Calories,1996,Angola,0.344086022,Angola
534,Fat,1996,Angola,0.389830508,Angola
535,Protein,1996,Angola,0.29739777,Angola
536,Weight,1996,Angola,0.52519967,Angola
537,Calories,1997,Angola,0.311704835,Angola
538,Fat,1997,Angola,0.407942238,Angola
539,Protein,1997,Angola,0.304659498,Angola
540,Weight,1997,Angola,0.488530161,Angola
541,Calories,1998,Angola,0.343161857,Angola
542,Fat,1998,Angola,0.390070922,Angola
543,Protein,1998,Angola,0.313432836,Angola
544,Weight,1998,Angola,0.538704581,Angola
545,Calories,1999,Angola,0.341197822,Angola
546,Fat,1999,Angola,0.377224199,Angola
547,Protein,1999,Angola,0.360594796,Angola
548,Weight,1999,Angola,0.54456493,Angola
549,Calories,2000,Angola,0.339622642,Angola
550,Fat,2000,Angola,0.361403509,Angola
551,Protein,2000,Angola,0.321428571,Angola
552,Weight,2000,Angola,0.527034261,Angola
553,Calories,2001,Angola,0.304452467,Angola
554,Fat,2001,Angola,0.342372881,Angola
555,Protein,2001,Angola,0.35106383,Angola
556,Weight,2001,Angola,0.47140975,Angola
557,Calories,2002,Angola,0.287146226,Angola
558,Fat,2002,Angola,0.333333333,Angola
559,Protein,2002,Angola,0.349823322,Angola
560,Weight,2002,Angola,0.451036269,Angola
561,Calories,2003,Angola,0.211025489,Angola
562,Fat,2003,Angola,0.306060606,Angola
563,Protein,2003,Angola,0.319727891,Angola
564,Weight,2003,Angola,0.353198469,Angola
565,Calories,2004,Angola,0.22102883,Angola
566,Fat,2004,Angola,0.319767442,Angola
567,Protein,2004,Angola,0.313333333,Angola
568,Weight,2004,Angola,0.369934641,Angola
569,Calories,2005,Angola,0.225663717,Angola
570,Fat,2005,Angola,0.317280453,Angola
571,Protein,2005,Angola,0.299674267,Angola
572,Weight,2005,Angola,0.36961962,Angola
573,Calories,2006,Angola,0.229508197,Angola
574,Fat,2006,Angola,0.317142857,Angola
575,Protein,2006,Angola,0.30420712,Angola
576,Weight,2006,Angola,0.372785433,Angola
577,Calories,2007,Angola,0.238845144,Angola
578,Fat,2007,Angola,0.312676056,Angola
579,Protein,2007,Angola,0.27672956,Angola
580,Weight,2007,Angola,0.373416264,Angola
581,Calories,2008,Angola,0.238838085,Angola
582,Fat,2008,Angola,0.326589595,Angola
583,Protein,2008,Angola,0.285714286,Angola
584,Weight,2008,Angola,0.378141299,Angola
585,Calories,2009,Angola,0.220862161,Angola
586,Fat,2009,Angola,0.323033708,Angola
587,Protein,2009,Angola,0.278637771,Angola
588,Weight,2009,Angola,0.344811754,Angola
589,Calories,1961,Antigua & Barb.,0.404508453,Antigua and Barbuda
