Abbrev,CountryName,ElementName,Year,Evenness
Mozambique,Mozambique,Calories,1961,0.543177846
Myanmar,Myanmar,Calories,1961,0.34418536
Namibia,Namibia,Calories,1961,0.826980306
Nepal,Nepal,Calories,1961,0.533956937
Netherlands,Netherlands,Calories,1961,0.632765694
New Caledonia,New Caledon.,Calories,1961,0.786566809
New Zealand,New Zealand,Calories,1961,0.576326375
Nicaragua,Nicaragua,Calories,1961,0.645779217
Niger,Niger,Calories,1961,0.484923869
Nigeria,Nigeria,Calories,1961,0.717509606
Norway,Norway,Calories,1961,0.637157209
Pakistan,Pakistan,Calories,1961,0.553954082
Panama,Panama,Calories,1961,0.658888102
Paraguay,Paraguay,Calories,1961,0.709846892
Peru,Peru,Calories,1961,0.717371549
Philippines,Philippines,Calories,1961,0.542594594
Poland,Poland,Calories,1961,0.598515449
Portugal,Portugal,Calories,1961,0.756727027
Republic of Korea,South Korea,Calories,1961,0.480159084
Romania,Romania,Calories,1961,0.531590904
Rwanda,Rwanda,Calories,1961,0.73411502
Saint Kitts and Nevis,St. Kitts,Calories,1961,0.685867255
Saint Lucia,Saint Lucia,Calories,1961,0.670725099
Saint Vincent and the Grenadines,St. Vincent,Calories,1961,0.676358951
Samoa,Samoa,Calories,1961,0.664080223
Sao Tome and Principe,Sao Tome,Calories,1961,0.762421322
Saudi Arabia,Saudi Arabia,Calories,1961,0.662357164
Senegal,Senegal,Calories,1961,0.666181487
Seychelles,Seychelles,Calories,1961,0.513159413
Sierra Leone,Sierra Leone,Calories,1961,0.649476203
Solomon Islands,Solomon Isl.,Calories,1961,0.650403545
South Africa,South Africa,Calories,1961,0.491640151
Spain,Spain,Calories,1961,0.627739667
Sri Lanka,Sri Lanka,Calories,1961,0.528777535
Sudan (former),Sudan,Calories,1961,0.635000018
Suriname,Suriname,Calories,1961,0.607336313
Swaziland,Swaziland,Calories,1961,0.674580899
Sweden,Sweden,Calories,1961,0.690251379
Switzerland,Switzerland,Calories,1961,0.636274923
Syrian Arab Republic,Syria,Calories,1961,0.553747605
Thailand,Thailand,Calories,1961,0.310879188
Timor-Leste,Timor-Leste,Calories,1961,0.603913187
Togo,Togo,Calories,1961,0.645787705
Trinidad and Tobago,Trin. & Tob.,Calories,1961,0.560264753
Tunisia,Tunisia,Calories,1961,0.464400615
Turkey,Turkey,Calories,1961,0.600783969
Uganda,Uganda,Calories,1961,0.765532256
United Arab Emirates,Un. Arab Em.,Calories,1961,0.55725043
United Kingdom,UK,Calories,1961,0.589923667
United Republic of Tanzania,Tanzania,Calories,1961,0.675132401
United States of America,USA,Calories,1961,0.663569155
Uruguay,Uruguay,Calories,1961,0.577597931
USSR,USSR,Calories,1961,0.543325159
Vanuatu,Vanuatu,Calories,1961,0.63468544
Venezuela (Bolivarian Republic of),Venezuela,Calories,1961,0.685696597
Viet Nam,Vietnam,Calories,1961,0.32760489
Yemen,Yemen,Calories,1961,0.507352272
Yugoslav SFR,Yugoslavia,Calories,1961,0.497222891
Zambia,Zambia,Calories,1961,0.466957739
Zimbabwe,Zimbabwe,Calories,1961,0.55034768
Albania,Albania,Calories,1962,0.553534769
Algeria,Algeria,Calories,1962,0.471555216
Angola,Angola,Calories,1962,0.661574291
Antigua and Barbuda,Ant. & Barb.,Calories,1962,0.588603466
Argentina,Argentina,Calories,1962,0.567349736
Australia,Australia,Calories,1962,0.524407661
Austria,Austria,Calories,1962,0.67324409
Bahamas,Bahamas,Calories,1962,0.67155154
Bangladesh,Bangladesh,Calories,1962,0.283106368
Barbados,Barbados,Calories,1962,0.658765984
Belgium-Luxembourg,Belg-Lux,Calories,1962,0.611624411
Belize,Belize,Calories,1962,0.68763923
Benin,Benin,Calories,1962,0.676417861
Bermuda,Bermuda,Calories,1962,0.69199353
Bolivia (Plurinational State of),Bolivia,Calories,1962,0.678093272
Botswana,Botswana,Calories,1962,0.630645206
Brazil,Brazil,Calories,1962,0.669802831
Brunei Darussalam,Brunei Dar.,Calories,1962,0.56665014
Bulgaria,Bulgaria,Calories,1962,0.547652418
Burkina Faso,Burkina Faso,Calories,1962,0.645733858
Burundi,Burundi,Calories,1962,0.696861859
Cambodia,Cambodia,Calories,1962,0.310223039
Cameroon,Cameroon,Calories,1962,0.737754305
Canada,Canada,Calories,1962,0.619445429
Cape Verde,Cape Verde,Calories,1962,0.619864336
Central African Republic,C. Af. Rep,Calories,1962,0.621437218
Chad,Chad,Calories,1962,0.617230729
Chile,Chile,Calories,1962,0.559023249
China,China,Calories,1962,0.65674745
Colombia,Colombia,Calories,1962,0.714512435
Comoros,Comoros,Calories,1962,0.680085675
Congo,Congo,Calories,1962,0.47113182
Costa Rica,Costa Rica,Calories,1962,0.672941896
C“te d'Ivoire,Ivory Coast,Calories,1962,0.694779927
Cuba,Cuba,Calories,1962,0.651192941
Cyprus,Cyprus,Calories,1962,0.656099247
Czechoslovakia,Czech.,Calories,1962,0.607798565
Democratic People's Republic of Korea,North Korea,Calories,1962,0.6137301
Denmark,Denmark,Calories,1962,0.670157456
Djibouti,Djibouti,Calories,1962,0.669540868
Dominica,Dominica,Calories,1962,0.673950471
Dominican Republic,Dom. Rep.,Calories,1962,0.725695503
Ecuador,Ecuador,Calories,1962,0.763736122
Egypt,Egypt,Calories,1962,0.617032672
El Salvador,El Salvador,Calories,1962,0.608038928
Ethiopia PDR,Ethiopia,Calories,1962,0.706303105
Fiji,Fiji,Calories,1962,0.629563214
Finland,Finland,Calories,1962,0.615279879
France,France,Calories,1962,0.587181794
French Polynesia,Frch. Polyn.,Calories,1962,0.621536146
Gabon,Gabon,Calories,1962,0.668876459
Gambia,Gambia,Calories,1962,0.674495298
Germany,Germany,Calories,1962,0.724215068
Ghana,Ghana,Calories,1962,0.751612319
Greece,Greece,Calories,1962,0.555329018
Grenada,Grenada,Calories,1962,0.668147863
Guatemala,Guatemala,Calories,1962,0.444995861
Guinea,Guinea,Calories,1962,0.824487563
Guinea-Bissau,Guinea-Biss.,Calories,1962,0.718184651
Guyana,Guyana,Calories,1962,0.610941931
Haiti,Haiti,Calories,1962,0.73508311
Honduras,Honduras,Calories,1962,0.52374572
Hungary,Hungary,Calories,1962,0.537728657
Iceland,Iceland,Calories,1962,0.632628477
India,India,Calories,1962,0.666993799
Indonesia,Indonesia,Calories,1962,0.603583325
Iran (Islamic Republic of),Iran,Calories,1962,0.503803707
Ireland,Ireland,Calories,1962,0.533583962
Israel,Israel,Calories,1962,0.581901091
Italy,Italy,Calories,1962,0.596597209
Jamaica,Jamaica,Calories,1962,0.61649765
Japan,Japan,Calories,1962,0.531267482
Jordan,Jordan,Calories,1962,0.550882466
Kenya,Kenya,Calories,1962,0.614573965
Kiribati,Kiribati,Calories,1962,0.671280556
Kuwait,Kuwait,Calories,1962,0.600154449
Lao People's Democratic Republic,Laos,Calories,1962,0.238676767
Lebanon,Lebanon,Calories,1962,0.567485809
Lesotho,Lesotho,Calories,1962,0.58905073
Liberia,Liberia,Calories,1962,0.52884477
Libya,Libya,Calories,1962,0.574839106
Madagascar,Madagascar,Calories,1962,0.48884341
Malawi,Malawi,Calories,1962,0.460788064
Malaysia,Malaysia,Calories,1962,0.468889519
Maldives,Maldives,Calories,1962,0.800726304
Mali,Mali,Calories,1962,0.641075263
Malta,Malta,Calories,1962,0.513044276
Mauritania,Mauritania,Calories,1962,0.64621904
Mauritius,Mauritius,Calories,1962,0.544324424
Mexico,Mexico,Calories,1962,0.507098411
Mongolia,Mongolia,Calories,1962,0.30436958
Morocco,Morocco,Calories,1962,0.55594837
Mozambique,Mozambique,Calories,1962,0.538496239
Myanmar,Myanmar,Calories,1962,0.370693345
Namibia,Namibia,Calories,1962,0.817412233
Nepal,Nepal,Calories,1962,0.545467346
Netherlands,Netherlands,Calories,1962,0.638608719
New Caledonia,New Caledon.,Calories,1962,0.780588728
New Zealand,New Zealand,Calories,1962,0.570542818
Nicaragua,Nicaragua,Calories,1962,0.60910984
Niger,Niger,Calories,1962,0.520075083
Nigeria,Nigeria,Calories,1962,0.720773369
Norway,Norway,Calories,1962,0.65148381
Pakistan,Pakistan,Calories,1962,0.558075347
Panama,Panama,Calories,1962,0.659445643
Paraguay,Paraguay,Calories,1962,0.70718071
Peru,Peru,Calories,1962,0.73041549
Philippines,Philippines,Calories,1962,0.537920112
Poland,Poland,Calories,1962,0.594294862
Portugal,Portugal,Calories,1962,0.734519049
Republic of Korea,South Korea,Calories,1962,0.476645549
Romania,Romania,Calories,1962,0.536949867
Rwanda,Rwanda,Calories,1962,0.714841914
Saint Kitts and Nevis,St. Kitts,Calories,1962,0.677936286
Saint Lucia,Saint Lucia,Calories,1962,0.702273089
Saint Vincent and the Grenadines,St. Vincent,Calories,1962,0.663737506
Samoa,Samoa,Calories,1962,0.637211459
Sao Tome and Principe,Sao Tome,Calories,1962,0.748523879
Saudi Arabia,Saudi Arabia,Calories,1962,0.658658183
Senegal,Senegal,Calories,1962,0.663053163
Seychelles,Seychelles,Calories,1962,0.518319361
Sierra Leone,Sierra Leone,Calories,1962,0.653904002
Solomon Islands,Solomon Isl.,Calories,1962,0.660671165
South Africa,South Africa,Calories,1962,0.476063862
Spain,Spain,Calories,1962,0.622859122
Sri Lanka,Sri Lanka,Calories,1962,0.521829667
Sudan (former),Sudan,Calories,1962,0.595398209
Suriname,Suriname,Calories,1962,0.606771515
Swaziland,Swaziland,Calories,1962,0.671634467
Sweden,Sweden,Calories,1962,0.706430408
Switzerland,Switzerland,Calories,1962,0.659305059
Syrian Arab Republic,Syria,Calories,1962,0.563452136
Thailand,Thailand,Calories,1962,0.301363312
Timor-Leste,Timor-Leste,Calories,1962,0.603103472
Togo,Togo,Calories,1962,0.691661676
Trinidad and Tobago,Trin. & Tob.,Calories,1962,0.572667384
Tunisia,Tunisia,Calories,1962,0.475202779
Turkey,Turkey,Calories,1962,0.619343164
Uganda,Uganda,Calories,1962,0.765243227
United Arab Emirates,Un. Arab Em.,Calories,1962,0.559045724
United Kingdom,UK,Calories,1962,0.611454409
United Republic of Tanzania,Tanzania,Calories,1962,0.665477412
United States of America,USA,Calories,1962,0.660976951
Uruguay,Uruguay,Calories,1962,0.565243775
USSR,USSR,Calories,1962,0.555109956
Vanuatu,Vanuatu,Calories,1962,0.634677454
Venezuela (Bolivarian Republic of),Venezuela,Calories,1962,0.692439541
Viet Nam,Vietnam,Calories,1962,0.317933677
Yemen,Yemen,Calories,1962,0.513284414
Yugoslav SFR,Yugoslavia,Calories,1962,0.488462755
Zambia,Zambia,Calories,1962,0.442083462
Zimbabwe,Zimbabwe,Calories,1962,0.556106428
Albania,Albania,Calories,1963,0.553658984
Algeria,Algeria,Calories,1963,0.499285713
Angola,Angola,Calories,1963,0.667981549
Antigua and Barbuda,Ant. & Barb.,Calories,1963,0.582748291
Argentina,Argentina,Calories,1963,0.578037812
Australia,Australia,Calories,1963,0.530201387
Austria,Austria,Calories,1963,0.694206085
Bahamas,Bahamas,Calories,1963,0.678102675
Bangladesh,Bangladesh,Calories,1963,0.295421804
Barbados,Barbados,Calories,1963,0.66940431
Belgium-Luxembourg,Belg-Lux,Calories,1963,0.616683055
Belize,Belize,Calories,1963,0.700027069
Benin,Benin,Calories,1963,0.675842917
Bermuda,Bermuda,Calories,1963,0.696970589
Bolivia (Plurinational State of),Bolivia,Calories,1963,0.681852276
Botswana,Botswana,Calories,1963,0.627393949
Brazil,Brazil,Calories,1963,0.675432851
Brunei Darussalam,Brunei Dar.,Calories,1963,0.56137264
Bulgaria,Bulgaria,Calories,1963,0.548723546
Burkina Faso,Burkina Faso,Calories,1963,0.609604867
Burundi,Burundi,Calories,1963,0.70309578
Cambodia,Cambodia,Calories,1963,0.302545516
Cameroon,Cameroon,Calories,1963,0.739244384
Canada,Canada,Calories,1963,0.608136431
Cape Verde,Cape Verde,Calories,1963,0.641040702
Central African Republic,C. Af. Rep,Calories,1963,0.611526936
Chad,Chad,Calories,1963,0.62737805
Chile,Chile,Calories,1963,0.567003878
China,China,Calories,1963,0.633933204
Colombia,Colombia,Calories,1963,0.701339282
Comoros,Comoros,Calories,1963,0.681225214
Congo,Congo,Calories,1963,0.507160802
Costa Rica,Costa Rica,Calories,1963,0.674232629
C“te d'Ivoire,Ivory Coast,Calories,1963,0.706416224
Cuba,Cuba,Calories,1963,0.630571645
Cyprus,Cyprus,Calories,1963,0.634175854
Czechoslovakia,Czech.,Calories,1963,0.616986905
Democratic People's Republic of Korea,North Korea,Calories,1963,0.608569759
Denmark,Denmark,Calories,1963,0.656458863
Djibouti,Djibouti,Calories,1963,0.667236412
Dominica,Dominica,Calories,1963,0.683702842
Dominican Republic,Dom. Rep.,Calories,1963,0.705092016
Ecuador,Ecuador,Calories,1963,0.74995692
Egypt,Egypt,Calories,1963,0.619014831
El Salvador,El Salvador,Calories,1963,0.599373914
Ethiopia PDR,Ethiopia,Calories,1963,0.694647792
Fiji,Fiji,Calories,1963,0.631100587
Finland,Finland,Calories,1963,0.617682885
France,France,Calories,1963,0.601121741
French Polynesia,Frch. Polyn.,Calories,1963,0.623841973
Gabon,Gabon,Calories,1963,0.66742864
Gambia,Gambia,Calories,1963,0.653397338
Germany,Germany,Calories,1963,0.724377623
Ghana,Ghana,Calories,1963,0.735304659
Greece,Greece,Calories,1963,0.553269752
Grenada,Grenada,Calories,1963,0.663233784
Guatemala,Guatemala,Calories,1963,0.453605876
Guinea,Guinea,Calories,1963,0.799759832
Guinea-Bissau,Guinea-Biss.,Calories,1963,0.718406836
Guyana,Guyana,Calories,1963,0.59417196
Haiti,Haiti,Calories,1963,0.731676317
Honduras,Honduras,Calories,1963,0.534333012
Hungary,Hungary,Calories,1963,0.512488145
Iceland,Iceland,Calories,1963,0.628896267
India,India,Calories,1963,0.662659081
Indonesia,Indonesia,Calories,1963,0.58645356
Iran (Islamic Republic of),Iran,Calories,1963,0.508507842
Ireland,Ireland,Calories,1963,0.533201992
Israel,Israel,Calories,1963,0.595895219
Italy,Italy,Calories,1963,0.6020747
Jamaica,Jamaica,Calories,1963,0.611380196
Japan,Japan,Calories,1963,0.538801779
Jordan,Jordan,Calories,1963,0.551822126
Kenya,Kenya,Calories,1963,0.601003994
Kiribati,Kiribati,Calories,1963,0.680887862
Kuwait,Kuwait,Calories,1963,0.603554971
Lao People's Democratic Republic,Laos,Calories,1963,0.234873581
Lebanon,Lebanon,Calories,1963,0.579120177
Lesotho,Lesotho,Calories,1963,0.578306597
Liberia,Liberia,Calories,1963,0.520454417
Libya,Libya,Calories,1963,0.55760737
Madagascar,Madagascar,Calories,1963,0.487213003
Malawi,Malawi,Calories,1963,0.439090828
Malaysia,Malaysia,Calories,1963,0.470781256
Maldives,Maldives,Calories,1963,0.804266303
Mali,Mali,Calories,1963,0.661838613
Malta,Malta,Calories,1963,0.508313702
Mauritania,Mauritania,Calories,1963,0.657524592
Mauritius,Mauritius,Calories,1963,0.555482735
Mexico,Mexico,Calories,1963,0.507181963
Mongolia,Mongolia,Calories,1963,0.375597963
Morocco,Morocco,Calories,1963,0.527099291
Mozambique,Mozambique,Calories,1963,0.541808236
Myanmar,Myanmar,Calories,1963,0.389096379
Namibia,Namibia,Calories,1963,0.818916249
Nepal,Nepal,Calories,1963,0.555734607
Netherlands,Netherlands,Calories,1963,0.656230508
New Caledonia,New Caledon.,Calories,1963,0.762591994
New Zealand,New Zealand,Calories,1963,0.566304737
Nicaragua,Nicaragua,Calories,1963,0.612955993
Niger,Niger,Calories,1963,0.517984358
Nigeria,Nigeria,Calories,1963,0.72695472
Norway,Norway,Calories,1963,0.663685755
Pakistan,Pakistan,Calories,1963,0.555577529
Panama,Panama,Calories,1963,0.65365551
Paraguay,Paraguay,Calories,1963,0.720780827
Peru,Peru,Calories,1963,0.736020703
Philippines,Philippines,Calories,1963,0.550782518
Poland,Poland,Calories,1963,0.612136939
Portugal,Portugal,Calories,1963,0.754759087
Republic of Korea,South Korea,Calories,1963,0.468748702
Romania,Romania,Calories,1963,0.550760743
Rwanda,Rwanda,Calories,1963,0.740651135
Saint Kitts and Nevis,St. Kitts,Calories,1963,0.678582716
Saint Lucia,Saint Lucia,Calories,1963,0.693821362
Saint Vincent and the Grenadines,St. Vincent,Calories,1963,0.673620158
Samoa,Samoa,Calories,1963,0.644151847
Sao Tome and Principe,Sao Tome,Calories,1963,0.754471299
Saudi Arabia,Saudi Arabia,Calories,1963,0.658227421
Senegal,Senegal,Calories,1963,0.670218288
Seychelles,Seychelles,Calories,1963,0.517849833
Sierra Leone,Sierra Leone,Calories,1963,0.622443755
Solomon Islands,Solomon Isl.,Calories,1963,0.648160664
South Africa,South Africa,Calories,1963,0.485838554
Spain,Spain,Calories,1963,0.654202603
Sri Lanka,Sri Lanka,Calories,1963,0.5119557
Sudan (former),Sudan,Calories,1963,0.623947281
Suriname,Suriname,Calories,1963,0.626434761
Swaziland,Swaziland,Calories,1963,0.642483069
Sweden,Sweden,Calories,1963,0.706547235
Switzerland,Switzerland,Calories,1963,0.666615784
Syrian Arab Republic,Syria,Calories,1963,0.544533387
Thailand,Thailand,Calories,1963,0.30299568
Timor-Leste,Timor-Leste,Calories,1963,0.604771156
Togo,Togo,Calories,1963,0.682843636
Trinidad and Tobago,Trin. & Tob.,Calories,1963,0.575665189
Tunisia,Tunisia,Calories,1963,0.500031299
Turkey,Turkey,Calories,1963,0.638062407
Uganda,Uganda,Calories,1963,0.767806243
United Arab Emirates,Un. Arab Em.,Calories,1963,0.552068789
United Kingdom,UK,Calories,1963,0.598603703
United Republic of Tanzania,Tanzania,Calories,1963,0.658321622
United States of America,USA,Calories,1963,0.66537242
Uruguay,Uruguay,Calories,1963,0.569270083
USSR,USSR,Calories,1963,0.539945387
Vanuatu,Vanuatu,Calories,1963,0.634382037
Venezuela (Bolivarian Republic of),Venezuela,Calories,1963,0.701151115
Viet Nam,Vietnam,Calories,1963,0.329727047
Yemen,Yemen,Calories,1963,0.510984752
Yugoslav SFR,Yugoslavia,Calories,1963,0.500024358
Zambia,Zambia,Calories,1963,0.461423009
Zimbabwe,Zimbabwe,Calories,1963,0.584113265
Albania,Albania,Calories,1964,0.577307281
Algeria,Algeria,Calories,1964,0.512658393
Angola,Angola,Calories,1964,0.668331241
Antigua and Barbuda,Ant. & Barb.,Calories,1964,0.571780097
Argentina,Argentina,Calories,1964,0.57306792
Australia,Australia,Calories,1964,0.547870157
Austria,Austria,Calories,1964,0.699181152
Bahamas,Bahamas,Calories,1964,0.683213511
Bangladesh,Bangladesh,Calories,1964,0.304416727
Barbados,Barbados,Calories,1964,0.65462167
Belgium-Luxembourg,Belg-Lux,Calories,1964,0.632188461
Belize,Belize,Calories,1964,0.67859088
Benin,Benin,Calories,1964,0.651873578
Bermuda,Bermuda,Calories,1964,0.717600226
Bolivia (Plurinational State of),Bolivia,Calories,1964,0.705265731
Botswana,Botswana,Calories,1964,0.645419676
Brazil,Brazil,Calories,1964,0.664092417
Brunei Darussalam,Brunei Dar.,Calories,1964,0.555930889
Bulgaria,Bulgaria,Calories,1964,0.543280848
Burkina Faso,Burkina Faso,Calories,1964,0.64768977
Burundi,Burundi,Calories,1964,0.686785419
Cambodia,Cambodia,Calories,1964,0.346349715
Cameroon,Cameroon,Calories,1964,0.73926813
Canada,Canada,Calories,1964,0.633526596
Cape Verde,Cape Verde,Calories,1964,0.614511293
Central African Republic,C. Af. Rep,Calories,1964,0.62273863
Chad,Chad,Calories,1964,0.634881871
Chile,Chile,Calories,1964,0.548674282
China,China,Calories,1964,0.628760569
Colombia,Colombia,Calories,1964,0.691508197
Comoros,Comoros,Calories,1964,0.693695732
Congo,Congo,Calories,1964,0.504903091
Costa Rica,Costa Rica,Calories,1964,0.66207499
C“te d'Ivoire,Ivory Coast,Calories,1964,0.711212564
Cuba,Cuba,Calories,1964,0.640434488
Cyprus,Cyprus,Calories,1964,0.644452288
Czechoslovakia,Czech.,Calories,1964,0.604249831
Democratic People's Republic of Korea,North Korea,Calories,1964,0.607921075
Denmark,Denmark,Calories,1964,0.664228444
Djibouti,Djibouti,Calories,1964,0.68648461
Dominica,Dominica,Calories,1964,0.680585948
Dominican Republic,Dom. Rep.,Calories,1964,0.702173623
Ecuador,Ecuador,Calories,1964,0.758994676
Egypt,Egypt,Calories,1964,0.614544315
El Salvador,El Salvador,Calories,1964,0.609778191
Ethiopia PDR,Ethiopia,Calories,1964,0.691576538
Fiji,Fiji,Calories,1964,0.631057519
Finland,Finland,Calories,1964,0.631461089
France,France,Calories,1964,0.599138336
French Polynesia,Frch. Polyn.,Calories,1964,0.653068127
Gabon,Gabon,Calories,1964,0.681847995
Gambia,Gambia,Calories,1964,0.652207235
Germany,Germany,Calories,1964,0.715121949
Ghana,Ghana,Calories,1964,0.737479427
Greece,Greece,Calories,1964,0.55202649
Grenada,Grenada,Calories,1964,0.649577148
Guatemala,Guatemala,Calories,1964,0.458250451
Guinea,Guinea,Calories,1964,0.802375149
Guinea-Bissau,Guinea-Biss.,Calories,1964,0.7284237
Guyana,Guyana,Calories,1964,0.598642482
Haiti,Haiti,Calories,1964,0.719152228
Honduras,Honduras,Calories,1964,0.534323923
Hungary,Hungary,Calories,1964,0.523372079
Iceland,Iceland,Calories,1964,0.625230897
India,India,Calories,1964,0.657291155
Indonesia,Indonesia,Calories,1964,0.599178792
Iran (Islamic Republic of),Iran,Calories,1964,0.520429941
Ireland,Ireland,Calories,1964,0.543183844
Israel,Israel,Calories,1964,0.600796168
Italy,Italy,Calories,1964,0.59528489
Jamaica,Jamaica,Calories,1964,0.614277807
Japan,Japan,Calories,1964,0.54400836
Jordan,Jordan,Calories,1964,0.561244313
Kenya,Kenya,Calories,1964,0.588886012
Kiribati,Kiribati,Calories,1964,0.667424307
Kuwait,Kuwait,Calories,1964,0.582444081
Lao People's Democratic Republic,Laos,Calories,1964,0.236313835
Lebanon,Lebanon,Calories,1964,0.592878582
Lesotho,Lesotho,Calories,1964,0.580158258
Liberia,Liberia,Calories,1964,0.500761259
Libya,Libya,Calories,1964,0.544645958
Madagascar,Madagascar,Calories,1964,0.488431671
Malawi,Malawi,Calories,1964,0.430907811
Malaysia,Malaysia,Calories,1964,0.477866141
Maldives,Maldives,Calories,1964,0.809874061
Mali,Mali,Calories,1964,0.663893567
Malta,Malta,Calories,1964,0.513149761
Mauritania,Mauritania,Calories,1964,0.668015347
Mauritius,Mauritius,Calories,1964,0.54282436
Mexico,Mexico,Calories,1964,0.519487234
Mongolia,Mongolia,Calories,1964,0.414035724
Morocco,Morocco,Calories,1964,0.538866069
Mozambique,Mozambique,Calories,1964,0.556128462
Myanmar,Myanmar,Calories,1964,0.394399832
Namibia,Namibia,Calories,1964,0.822716552
Nepal,Nepal,Calories,1964,0.556670165
Netherlands,Netherlands,Calories,1964,0.667209459
New Caledonia,New Caledon.,Calories,1964,0.775597837
New Zealand,New Zealand,Calories,1964,0.593493401
Nicaragua,Nicaragua,Calories,1964,0.614414363
Niger,Niger,Calories,1964,0.465434532
Nigeria,Nigeria,Calories,1964,0.727460999
Norway,Norway,Calories,1964,0.6522839
Pakistan,Pakistan,Calories,1964,0.545685346
Panama,Panama,Calories,1964,0.643703257
Paraguay,Paraguay,Calories,1964,0.740916211
Peru,Peru,Calories,1964,0.728494108
Philippines,Philippines,Calories,1964,0.549568267
Poland,Poland,Calories,1964,0.621973785
