CountryName,Abbrev,Measurement,Year,Similarity
Guinea,Guinea,Calories,1961,0.424211191
Guinea-Biss.,Guinea-Bissau,Calories,1961,0.384273279
Guyana,Guyana,Calories,1961,0.681650581
Haiti,Haiti,Calories,1961,0.522843281
Honduras,Honduras,Calories,1961,0.472268939
Hungary,Hungary,Calories,1961,0.585673018
Iceland,Iceland,Calories,1961,0.582908494
India,India,Calories,1961,0.609686304
Indonesia,Indonesia,Calories,1961,0.449086481
Iran,Iran (Islamic Republic of),Calories,1961,0.647446391
Ireland,Ireland,Calories,1961,0.587376619
Israel,Israel,Calories,1961,0.626673796
Italy,Italy,Calories,1961,0.585886841
Jamaica,Jamaica,Calories,1961,0.698666264
Japan,Japan,Calories,1961,0.538234184
Jordan,Jordan,Calories,1961,0.623666806
Kenya,Kenya,Calories,1961,0.42975252
Kiribati,Kiribati,Calories,1961,0.473945251
Kuwait,Kuwait,Calories,1961,0.659059542
Laos,Lao People's Democratic Republic,Calories,1961,0.324136098
Lebanon,Lebanon,Calories,1961,0.603274482
Lesotho,Lesotho,Calories,1961,0.486080911
Liberia,Liberia,Calories,1961,0.384516475
Libya,Libya,Calories,1961,0.580705786
Madagascar,Madagascar,Calories,1961,0.443051415
Malawi,Malawi,Calories,1961,0.324737116
Malaysia,Malaysia,Calories,1961,0.553430194
Maldives,Maldives,Calories,1961,0.524422099
Mali,Mali,Calories,1961,0.318871981
Malta,Malta,Calories,1961,0.604273542
Mauritania,Mauritania,Calories,1961,0.426255604
Mauritius,Mauritius,Calories,1961,0.620736555
Mexico,Mexico,Calories,1961,0.51632123
Mongolia,Mongolia,Calories,1961,0.479994996
Morocco,Morocco,Calories,1961,0.589034288
Mozambique,Mozambique,Calories,1961,0.389500841
Myanmar,Myanmar,Calories,1961,0.367923864
Namibia,Namibia,Calories,1961,0.442894373
Nepal,Nepal,Calories,1961,0.445944708
Netherlands,Netherlands,Calories,1961,0.629829816
New Caledon.,New Caledonia,Calories,1961,0.698118019
New Zealand,New Zealand,Calories,1961,0.625181067
Nicaragua,Nicaragua,Calories,1961,0.529974825
Niger,Niger,Calories,1961,0.257321071
Nigeria,Nigeria,Calories,1961,0.331265144
Norway,Norway,Calories,1961,0.624931347
Pakistan,Pakistan,Calories,1961,0.683459466
Panama,Panama,Calories,1961,0.6652319
Paraguay,Paraguay,Calories,1961,0.592667635
Peru,Peru,Calories,1961,0.678155454
Philippines,Philippines,Calories,1961,0.522632638
Poland,Poland,Calories,1961,0.525665257
Portugal,Portugal,Calories,1961,0.642329753
South Korea,Republic of Korea,Calories,1961,0.364990424
Romania,Romania,Calories,1961,0.554089571
Rwanda,Rwanda,Calories,1961,0.263944278
St. Kitts,Saint Kitts and Nevis,Calories,1961,0.670818559
Saint Lucia,Saint Lucia,Calories,1961,0.616124028
St. Vincent,Saint Vincent and the Grenadines,Calories,1961,0.670185115
Samoa,Samoa,Calories,1961,0.464725162
Sao Tome,Sao Tome and Principe,Calories,1961,0.537371329
Saudi Arabia,Saudi Arabia,Calories,1961,0.487792854
Senegal,Senegal,Calories,1961,0.508211601
Seychelles,Seychelles,Calories,1961,0.602853736
Sierra Leone,Sierra Leone,Calories,1961,0.445033671
Solomon Isl.,Solomon Islands,Calories,1961,0.367496085
South Africa,South Africa,Calories,1961,0.590379137
Spain,Spain,Calories,1961,0.594332029
Sri Lanka,Sri Lanka,Calories,1961,0.521351246
Sudan,Sudan (former),Calories,1961,0.386545188
Suriname,Suriname,Calories,1961,0.668116933
Swaziland,Swaziland,Calories,1961,0.401278014
Sweden,Sweden,Calories,1961,0.588276284
Switzerland,Switzerland,Calories,1961,0.622492942
Syria,Syrian Arab Republic,Calories,1961,0.584276587
Thailand,Thailand,Calories,1961,0.363435645
Timor-Leste,Timor-Leste,Calories,1961,0.426624706
Togo,Togo,Calories,1961,0.339633348
Trin. & Tob.,Trinidad and Tobago,Calories,1961,0.725422615
Tunisia,Tunisia,Calories,1961,0.558125517
Turkey,Turkey,Calories,1961,0.527707034
Uganda,Uganda,Calories,1961,0.378442676
Un. Arab Em.,United Arab Emirates,Calories,1961,0.617691149
UK,United Kingdom,Calories,1961,0.625210698
Tanzania,United Republic of Tanzania,Calories,1961,0.425030934
USA,United States of America,Calories,1961,0.652120033
Uruguay,Uruguay,Calories,1961,0.643432265
USSR,USSR,Calories,1961,0.541076631
Vanuatu,Vanuatu,Calories,1961,0.433116084
Venezuela,Venezuela (Bolivarian Republic of),Calories,1961,0.641976935
Vietnam,Viet Nam,Calories,1961,0.376411238
Yemen,Yemen,Calories,1961,0.349191048
Yugoslavia,Yugoslav SFR,Calories,1961,0.569578242
Zambia,Zambia,Calories,1961,0.346784319
Zimbabwe,Zimbabwe,Calories,1961,0.4182999
Albania,Albania,Calories,1962,0.581760606
Algeria,Algeria,Calories,1962,0.570488463
Angola,Angola,Calories,1962,0.415272441
Ant. & Barb.,Antigua and Barbuda,Calories,1962,0.640691864
Argentina,Argentina,Calories,1962,0.617148014
Australia,Australia,Calories,1962,0.638740354
Austria,Austria,Calories,1962,0.608803845
Bahamas,Bahamas,Calories,1962,0.682452062
Bangladesh,Bangladesh,Calories,1962,0.366984038
Barbados,Barbados,Calories,1962,0.681380614
Belg-Lux,Belgium-Luxembourg,Calories,1962,0.625853589
Belize,Belize,Calories,1962,0.705514346
Benin,Benin,Calories,1962,0.365765602
Bermuda,Bermuda,Calories,1962,0.6094744
Bolivia,Bolivia (Plurinational State of),Calories,1962,0.688006143
Botswana,Botswana,Calories,1962,0.413607619
Brazil,Brazil,Calories,1962,0.660582371
Brunei Dar.,Brunei Darussalam,Calories,1962,0.603813144
Bulgaria,Bulgaria,Calories,1962,0.535847146
Burkina Faso,Burkina Faso,Calories,1962,0.316691702
Burundi,Burundi,Calories,1962,0.294947145
Cambodia,Cambodia,Calories,1962,0.364974756
Cameroon,Cameroon,Calories,1962,0.382449606
Canada,Canada,Calories,1962,0.640677858
Cape Verde,Cape Verde,Calories,1962,0.466737678
C. Af. Rep,Central African Republic,Calories,1962,0.302169862
Chad,Chad,Calories,1962,0.295921066
Chile,Chile,Calories,1962,0.618072395
China,China,Calories,1962,0.49290887
Colombia,Colombia,Calories,1962,0.621203723
Comoros,Comoros,Calories,1962,0.387357891
Congo,Congo,Calories,1962,0.322256758
Costa Rica,Costa Rica,Calories,1962,0.664803833
Ivory Coast,C“te d'Ivoire,Calories,1962,0.398081338
Cuba,Cuba,Calories,1962,0.685756199
Cyprus,Cyprus,Calories,1962,0.616748121
Czech.,Czechoslovakia,Calories,1962,0.588980287
North Korea,Democratic People's Republic of Korea,Calories,1962,0.447820301
Denmark,Denmark,Calories,1962,0.573398391
Djibouti,Djibouti,Calories,1962,0.561972811
Dominica,Dominica,Calories,1962,0.655160825
Dom. Rep.,Dominican Republic,Calories,1962,0.602498345
Ecuador,Ecuador,Calories,1962,0.655672093
Egypt,Egypt,Calories,1962,0.654494932
El Salvador,El Salvador,Calories,1962,0.500542952
Ethiopia,Ethiopia PDR,Calories,1962,0.39501323
Fiji,Fiji,Calories,1962,0.645696476
Finland,Finland,Calories,1962,0.588295482
France,France,Calories,1962,0.608381833
Frch. Polyn.,French Polynesia,Calories,1962,0.711869727
Gabon,Gabon,Calories,1962,0.369837792
Gambia,Gambia,Calories,1962,0.402187098
Germany,Germany,Calories,1962,0.585074337
Ghana,Ghana,Calories,1962,0.42386632
Greece,Greece,Calories,1962,0.536380782
Grenada,Grenada,Calories,1962,0.684741378
Guatemala,Guatemala,Calories,1962,0.465956255
Guinea,Guinea,Calories,1962,0.428131767
Guinea-Biss.,Guinea-Bissau,Calories,1962,0.387938843
Guyana,Guyana,Calories,1962,0.673750092
Haiti,Haiti,Calories,1962,0.541628742
Honduras,Honduras,Calories,1962,0.466837568
Hungary,Hungary,Calories,1962,0.589313122
Iceland,Iceland,Calories,1962,0.586763175
India,India,Calories,1962,0.611523976
Indonesia,Indonesia,Calories,1962,0.445343833
Iran,Iran (Islamic Republic of),Calories,1962,0.665999842
Ireland,Ireland,Calories,1962,0.59658121
Israel,Israel,Calories,1962,0.628962313
Italy,Italy,Calories,1962,0.587119232
Jamaica,Jamaica,Calories,1962,0.697580429
Japan,Japan,Calories,1962,0.547878942
Jordan,Jordan,Calories,1962,0.612150414
Kenya,Kenya,Calories,1962,0.440463701
Kiribati,Kiribati,Calories,1962,0.487146802
Kuwait,Kuwait,Calories,1962,0.655911419
Laos,Lao People's Democratic Republic,Calories,1962,0.32848071
Lebanon,Lebanon,Calories,1962,0.615607871
Lesotho,Lesotho,Calories,1962,0.493533474
Liberia,Liberia,Calories,1962,0.382200428
Libya,Libya,Calories,1962,0.579608411
Madagascar,Madagascar,Calories,1962,0.441107888
Malawi,Malawi,Calories,1962,0.324751771
Malaysia,Malaysia,Calories,1962,0.538780547
Maldives,Maldives,Calories,1962,0.521727148
Mali,Mali,Calories,1962,0.360634625
Malta,Malta,Calories,1962,0.611057403
Mauritania,Mauritania,Calories,1962,0.425747319
Mauritius,Mauritius,Calories,1962,0.627702954
Mexico,Mexico,Calories,1962,0.523962136
Mongolia,Mongolia,Calories,1962,0.501585676
Morocco,Morocco,Calories,1962,0.610727456
Mozambique,Mozambique,Calories,1962,0.386701992
Myanmar,Myanmar,Calories,1962,0.381243671
Namibia,Namibia,Calories,1962,0.44480966
Nepal,Nepal,Calories,1962,0.44686462
Netherlands,Netherlands,Calories,1962,0.614954659
New Caledon.,New Caledonia,Calories,1962,0.691125507
New Zealand,New Zealand,Calories,1962,0.628546042
Nicaragua,Nicaragua,Calories,1962,0.53368525
Niger,Niger,Calories,1962,0.269841559
Nigeria,Nigeria,Calories,1962,0.339307578
Norway,Norway,Calories,1962,0.618290243
Pakistan,Pakistan,Calories,1962,0.69165907
Panama,Panama,Calories,1962,0.645463279
Paraguay,Paraguay,Calories,1962,0.594803103
Peru,Peru,Calories,1962,0.678957776
Philippines,Philippines,Calories,1962,0.519636431
Poland,Poland,Calories,1962,0.524167378
Portugal,Portugal,Calories,1962,0.647023494
South Korea,Republic of Korea,Calories,1962,0.37962596
Romania,Romania,Calories,1962,0.550843193
Rwanda,Rwanda,Calories,1962,0.252879589
St. Kitts,Saint Kitts and Nevis,Calories,1962,0.674228753
Saint Lucia,Saint Lucia,Calories,1962,0.617157867
St. Vincent,Saint Vincent and the Grenadines,Calories,1962,0.676575317
Samoa,Samoa,Calories,1962,0.464765774
Sao Tome,Sao Tome and Principe,Calories,1962,0.525818209
Saudi Arabia,Saudi Arabia,Calories,1962,0.486101158
Senegal,Senegal,Calories,1962,0.486629273
Seychelles,Seychelles,Calories,1962,0.602507987
Sierra Leone,Sierra Leone,Calories,1962,0.451979788
Solomon Isl.,Solomon Islands,Calories,1962,0.360606582
South Africa,South Africa,Calories,1962,0.578268431
Spain,Spain,Calories,1962,0.601817576
Sri Lanka,Sri Lanka,Calories,1962,0.50571992
Sudan,Sudan (former),Calories,1962,0.367016178
Suriname,Suriname,Calories,1962,0.669044974
Swaziland,Swaziland,Calories,1962,0.40810266
Sweden,Sweden,Calories,1962,0.597443049
Switzerland,Switzerland,Calories,1962,0.620452683
Syria,Syrian Arab Republic,Calories,1962,0.572671905
Thailand,Thailand,Calories,1962,0.352817334
Timor-Leste,Timor-Leste,Calories,1962,0.432470199
Togo,Togo,Calories,1962,0.357601347
Trin. & Tob.,Trinidad and Tobago,Calories,1962,0.726970217
Tunisia,Tunisia,Calories,1962,0.552310873
Turkey,Turkey,Calories,1962,0.541627783
Uganda,Uganda,Calories,1962,0.379681674
Un. Arab Em.,United Arab Emirates,Calories,1962,0.618123556
UK,United Kingdom,Calories,1962,0.63901871
Tanzania,United Republic of Tanzania,Calories,1962,0.434344368
USA,United States of America,Calories,1962,0.656964122
Uruguay,Uruguay,Calories,1962,0.644569324
USSR,USSR,Calories,1962,0.549137654
Vanuatu,Vanuatu,Calories,1962,0.449690132
Venezuela,Venezuela (Bolivarian Republic of),Calories,1962,0.65467134
Vietnam,Viet Nam,Calories,1962,0.374644059
Yemen,Yemen,Calories,1962,0.359964119
Yugoslavia,Yugoslav SFR,Calories,1962,0.558915152
Zambia,Zambia,Calories,1962,0.334904533
Zimbabwe,Zimbabwe,Calories,1962,0.403781542
Albania,Albania,Calories,1963,0.59281388
Algeria,Algeria,Calories,1963,0.560669182
Angola,Angola,Calories,1963,0.424991544
Ant. & Barb.,Antigua and Barbuda,Calories,1963,0.643834816
Argentina,Argentina,Calories,1963,0.613498711
Australia,Australia,Calories,1963,0.645541639
Austria,Austria,Calories,1963,0.609833169
Bahamas,Bahamas,Calories,1963,0.678712623
Bangladesh,Bangladesh,Calories,1963,0.383516863
Barbados,Barbados,Calories,1963,0.688007068
Belg-Lux,Belgium-Luxembourg,Calories,1963,0.635822484
Belize,Belize,Calories,1963,0.7030695
Benin,Benin,Calories,1963,0.364969944
Bermuda,Bermuda,Calories,1963,0.608899151
Bolivia,Bolivia (Plurinational State of),Calories,1963,0.694942937
Botswana,Botswana,Calories,1963,0.413312422
Brazil,Brazil,Calories,1963,0.663158383
Brunei Dar.,Brunei Darussalam,Calories,1963,0.617434459
Bulgaria,Bulgaria,Calories,1963,0.532332799
Burkina Faso,Burkina Faso,Calories,1963,0.305835432
Burundi,Burundi,Calories,1963,0.292297376
Cambodia,Cambodia,Calories,1963,0.361311952
Cameroon,Cameroon,Calories,1963,0.385422582
Canada,Canada,Calories,1963,0.644054547
Cape Verde,Cape Verde,Calories,1963,0.465879342
C. Af. Rep,Central African Republic,Calories,1963,0.305568922
Chad,Chad,Calories,1963,0.311008703
Chile,Chile,Calories,1963,0.615027999
China,China,Calories,1963,0.503988372
Colombia,Colombia,Calories,1963,0.611595618
Comoros,Comoros,Calories,1963,0.390303633
Congo,Congo,Calories,1963,0.348338323
Costa Rica,Costa Rica,Calories,1963,0.660184532
Ivory Coast,C“te d'Ivoire,Calories,1963,0.438529786
Cuba,Cuba,Calories,1963,0.692087285
Cyprus,Cyprus,Calories,1963,0.628504954
Czech.,Czechoslovakia,Calories,1963,0.588778781
North Korea,Democratic People's Republic of Korea,Calories,1963,0.447946585
Denmark,Denmark,Calories,1963,0.577806069
Djibouti,Djibouti,Calories,1963,0.56102622
Dominica,Dominica,Calories,1963,0.656041559
Dom. Rep.,Dominican Republic,Calories,1963,0.594435021
Ecuador,Ecuador,Calories,1963,0.651625149
Egypt,Egypt,Calories,1963,0.654925221
El Salvador,El Salvador,Calories,1963,0.496469095
Ethiopia,Ethiopia PDR,Calories,1963,0.396410533
Fiji,Fiji,Calories,1963,0.650787735
Finland,Finland,Calories,1963,0.595172216
France,France,Calories,1963,0.614631544
Frch. Polyn.,French Polynesia,Calories,1963,0.714474205
Gabon,Gabon,Calories,1963,0.365971592
Gambia,Gambia,Calories,1963,0.376413228
Germany,Germany,Calories,1963,0.588743707
Ghana,Ghana,Calories,1963,0.378882746
Greece,Greece,Calories,1963,0.534355122
Grenada,Grenada,Calories,1963,0.687653289
Guatemala,Guatemala,Calories,1963,0.461853304
Guinea,Guinea,Calories,1963,0.446538192
Guinea-Biss.,Guinea-Bissau,Calories,1963,0.400246749
Guyana,Guyana,Calories,1963,0.670638713
Haiti,Haiti,Calories,1963,0.541957202
Honduras,Honduras,Calories,1963,0.470901377
Hungary,Hungary,Calories,1963,0.588468194
Iceland,Iceland,Calories,1963,0.587879567
India,India,Calories,1963,0.6081735
Indonesia,Indonesia,Calories,1963,0.442355339
Iran,Iran (Islamic Republic of),Calories,1963,0.662646538
Ireland,Ireland,Calories,1963,0.595052863
Israel,Israel,Calories,1963,0.637082141
Italy,Italy,Calories,1963,0.584510427
Jamaica,Jamaica,Calories,1963,0.69860987
Japan,Japan,Calories,1963,0.55616082
Jordan,Jordan,Calories,1963,0.612299523
Kenya,Kenya,Calories,1963,0.434668153
Kiribati,Kiribati,Calories,1963,0.500791667
Kuwait,Kuwait,Calories,1963,0.665599824
Laos,Lao People's Democratic Republic,Calories,1963,0.327839601
Lebanon,Lebanon,Calories,1963,0.624113545
Lesotho,Lesotho,Calories,1963,0.478242362
Liberia,Liberia,Calories,1963,0.381377518
Libya,Libya,Calories,1963,0.574799481
Madagascar,Madagascar,Calories,1963,0.441964727
Malawi,Malawi,Calories,1963,0.31833572
Malaysia,Malaysia,Calories,1963,0.537655822
Maldives,Maldives,Calories,1963,0.52169964
Mali,Mali,Calories,1963,0.351583149
Malta,Malta,Calories,1963,0.5999309
Mauritania,Mauritania,Calories,1963,0.424754008
Mauritius,Mauritius,Calories,1963,0.638197418
Mexico,Mexico,Calories,1963,0.529474795
Mongolia,Mongolia,Calories,1963,0.536702667
Morocco,Morocco,Calories,1963,0.606370588
Mozambique,Mozambique,Calories,1963,0.397178791
Myanmar,Myanmar,Calories,1963,0.390915708
Namibia,Namibia,Calories,1963,0.450973519
Nepal,Nepal,Calories,1963,0.447481827
Netherlands,Netherlands,Calories,1963,0.621723101
New Caledon.,New Caledonia,Calories,1963,0.702605826
New Zealand,New Zealand,Calories,1963,0.630634359
Nicaragua,Nicaragua,Calories,1963,0.534242197
Niger,Niger,Calories,1963,0.262561036
Nigeria,Nigeria,Calories,1963,0.333189125
Norway,Norway,Calories,1963,0.606271604
Pakistan,Pakistan,Calories,1963,0.693096696
Panama,Panama,Calories,1963,0.665071755
Paraguay,Paraguay,Calories,1963,0.59698762
Peru,Peru,Calories,1963,0.666638392
Philippines,Philippines,Calories,1963,0.541674606
Poland,Poland,Calories,1963,0.530000446
Portugal,Portugal,Calories,1963,0.630019515
South Korea,Republic of Korea,Calories,1963,0.413010376
Romania,Romania,Calories,1963,0.563185857
Rwanda,Rwanda,Calories,1963,0.263294915
St. Kitts,Saint Kitts and Nevis,Calories,1963,0.676748974
Saint Lucia,Saint Lucia,Calories,1963,0.615927673
St. Vincent,Saint Vincent and the Grenadines,Calories,1963,0.663967901
Samoa,Samoa,Calories,1963,0.460588757
Sao Tome,Sao Tome and Principe,Calories,1963,0.53108072
Saudi Arabia,Saudi Arabia,Calories,1963,0.514156052
Senegal,Senegal,Calories,1963,0.473817943
Seychelles,Seychelles,Calories,1963,0.585418874
Sierra Leone,Sierra Leone,Calories,1963,0.439493229
Solomon Isl.,Solomon Islands,Calories,1963,0.356858692
South Africa,South Africa,Calories,1963,0.57644412
Spain,Spain,Calories,1963,0.606861423
Sri Lanka,Sri Lanka,Calories,1963,0.498159092
Sudan,Sudan (former),Calories,1963,0.381039669
Suriname,Suriname,Calories,1963,0.670542751
Swaziland,Swaziland,Calories,1963,0.399807047
Sweden,Sweden,Calories,1963,0.606235513
Switzerland,Switzerland,Calories,1963,0.629441643
Syria,Syrian Arab Republic,Calories,1963,0.577555802
Thailand,Thailand,Calories,1963,0.346012431
Timor-Leste,Timor-Leste,Calories,1963,0.423380062
Togo,Togo,Calories,1963,0.359496831
Trin. & Tob.,Trinidad and Tobago,Calories,1963,0.727231369
Tunisia,Tunisia,Calories,1963,0.547734229
Turkey,Turkey,Calories,1963,0.557178524
Uganda,Uganda,Calories,1963,0.372179652
Un. Arab Em.,United Arab Emirates,Calories,1963,0.617184674
UK,United Kingdom,Calories,1963,0.634909775
Tanzania,United Republic of Tanzania,Calories,1963,0.440583308
USA,United States of America,Calories,1963,0.655466158
Uruguay,Uruguay,Calories,1963,0.64670187
USSR,USSR,Calories,1963,0.546877782
Vanuatu,Vanuatu,Calories,1963,0.440608824
Venezuela,Venezuela (Bolivarian Republic of),Calories,1963,0.656586116
Vietnam,Viet Nam,Calories,1963,0.383688469
Yemen,Yemen,Calories,1963,0.367717554
Yugoslavia,Yugoslav SFR,Calories,1963,0.56120789
Zambia,Zambia,Calories,1963,0.3441715
Zimbabwe,Zimbabwe,Calories,1963,0.428817138
Albania,Albania,Calories,1964,0.587302734
Algeria,Algeria,Calories,1964,0.566779742
Angola,Angola,Calories,1964,0.415183087
Ant. & Barb.,Antigua and Barbuda,Calories,1964,0.645760066
Argentina,Argentina,Calories,1964,0.6294
Australia,Australia,Calories,1964,0.648631651
Austria,Austria,Calories,1964,0.6138887
Bahamas,Bahamas,Calories,1964,0.680258421
Bangladesh,Bangladesh,Calories,1964,0.389537756
Barbados,Barbados,Calories,1964,0.68926811
Belg-Lux,Belgium-Luxembourg,Calories,1964,0.638047856
Belize,Belize,Calories,1964,0.712787593
Benin,Benin,Calories,1964,0.350109238
Bermuda,Bermuda,Calories,1964,0.602841683
Bolivia,Bolivia (Plurinational State of),Calories,1964,0.685322331
Botswana,Botswana,Calories,1964,0.428347189
Brazil,Brazil,Calories,1964,0.67041246
Brunei Dar.,Brunei Darussalam,Calories,1964,0.632893215
Bulgaria,Bulgaria,Calories,1964,0.543743942
Burkina Faso,Burkina Faso,Calories,1964,0.30759395
Burundi,Burundi,Calories,1964,0.288566758
Cambodia,Cambodia,Calories,1964,0.36979718
Cameroon,Cameroon,Calories,1964,0.377850781
Canada,Canada,Calories,1964,0.648252554
Cape Verde,Cape Verde,Calories,1964,0.465703275
C. Af. Rep,Central African Republic,Calories,1964,0.306027135
Chad,Chad,Calories,1964,0.31039471
Chile,Chile,Calories,1964,0.613163567
China,China,Calories,1964,0.515867166
Colombia,Colombia,Calories,1964,0.609780602
Comoros,Comoros,Calories,1964,0.397810549
Congo,Congo,Calories,1964,0.33954855
Costa Rica,Costa Rica,Calories,1964,0.663897431
Ivory Coast,C“te d'Ivoire,Calories,1964,0.445837779
Cuba,Cuba,Calories,1964,0.675056204
Cyprus,Cyprus,Calories,1964,0.604779021
Czech.,Czechoslovakia,Calories,1964,0.598738731
North Korea,Democratic People's Republic of Korea,Calories,1964,0.461863235
Denmark,Denmark,Calories,1964,0.579125053
Djibouti,Djibouti,Calories,1964,0.565578728
Dominica,Dominica,Calories,1964,0.656875585
Dom. Rep.,Dominican Republic,Calories,1964,0.594208932
Ecuador,Ecuador,Calories,1964,0.654656995
Egypt,Egypt,Calories,1964,0.657378562
El Salvador,El Salvador,Calories,1964,0.503148791
Ethiopia,Ethiopia PDR,Calories,1964,0.394005855
Fiji,Fiji,Calories,1964,0.664565119
Finland,Finland,Calories,1964,0.594221854
France,France,Calories,1964,0.619777154
Frch. Polyn.,French Polynesia,Calories,1964,0.702417916
Gabon,Gabon,Calories,1964,0.379361511
Gambia,Gambia,Calories,1964,0.356025576
Germany,Germany,Calories,1964,0.598528292
Ghana,Ghana,Calories,1964,0.382204475
Greece,Greece,Calories,1964,0.533050402
Grenada,Grenada,Calories,1964,0.684857451
Guatemala,Guatemala,Calories,1964,0.46254258
Guinea,Guinea,Calories,1964,0.446059102
Guinea-Biss.,Guinea-Bissau,Calories,1964,0.401962912
Guyana,Guyana,Calories,1964,0.688968041
Haiti,Haiti,Calories,1964,0.512689512
Honduras,Honduras,Calories,1964,0.468941316
Hungary,Hungary,Calories,1964,0.594247074
Iceland,Iceland,Calories,1964,0.60574814
India,India,Calories,1964,0.62282888
Indonesia,Indonesia,Calories,1964,0.44440925
Iran,Iran (Islamic Republic of),Calories,1964,0.667250307
Ireland,Ireland,Calories,1964,0.605561227
Israel,Israel,Calories,1964,0.634787439
Italy,Italy,Calories,1964,0.589210634
Jamaica,Jamaica,Calories,1964,0.705244025
Japan,Japan,Calories,1964,0.568666548
Jordan,Jordan,Calories,1964,0.602247928
Kenya,Kenya,Calories,1964,0.420863042
Kiribati,Kiribati,Calories,1964,0.50557125
Kuwait,Kuwait,Calories,1964,0.654478366
Laos,Lao People's Democratic Republic,Calories,1964,0.326480495
Lebanon,Lebanon,Calories,1964,0.623999962
Lesotho,Lesotho,Calories,1964,0.483117325
Liberia,Liberia,Calories,1964,0.374669912
Libya,Libya,Calories,1964,0.569365396
Madagascar,Madagascar,Calories,1964,0.440884763
Malawi,Malawi,Calories,1964,0.315604777
Malaysia,Malaysia,Calories,1964,0.552291733
Maldives,Maldives,Calories,1964,0.515424402
Mali,Mali,Calories,1964,0.352709814
Malta,Malta,Calories,1964,0.599396544
Mauritania,Mauritania,Calories,1964,0.422180845
Mauritius,Mauritius,Calories,1964,0.629352116
Mexico,Mexico,Calories,1964,0.529525062
Mongolia,Mongolia,Calories,1964,0.577695104
Morocco,Morocco,Calories,1964,0.612965241
Mozambique,Mozambique,Calories,1964,0.394235695
Myanmar,Myanmar,Calories,1964,0.393978963
Namibia,Namibia,Calories,1964,0.456161503
Nepal,Nepal,Calories,1964,0.444394545
Netherlands,Netherlands,Calories,1964,0.62134932
New Caledon.,New Caledonia,Calories,1964,0.697378508
New Zealand,New Zealand,Calories,1964,0.638535761
Nicaragua,Nicaragua,Calories,1964,0.542562078
Niger,Niger,Calories,1964,0.250722163
Nigeria,Nigeria,Calories,1964,0.330943091
Norway,Norway,Calories,1964,0.617378127
Pakistan,Pakistan,Calories,1964,0.689364159
Panama,Panama,Calories,1964,0.661311278
Paraguay,Paraguay,Calories,1964,0.596545304
Peru,Peru,Calories,1964,0.665988445
Philippines,Philippines,Calories,1964,0.534949646
Poland,Poland,Calories,1964,0.542120455
